conditions,fit,lwr,upr,x,avg2
Scenario 1 - Powerstroke First,1.2624062660195634,-0.9836616270602561,3.508474159099383,0,7.411145681970589
Scenario 1 - Powerstroke First,1.4854067905173531,-0.6026944293527237,3.57350801038743,1e-4,7.411145681970589
Scenario 1 - Powerstroke First,1.7084073150151429,-0.22745975161656973,3.6442743816468557,2e-4,7.411145681970589
Scenario 1 - Powerstroke First,1.9314078395129326,0.140579884051234,3.7222357949746314,3.0000000000000003e-4,7.411145681970589
Scenario 1 - Powerstroke First,2.154408364010722,0.4995316001384187,3.8092851278830255,4e-4,7.411145681970589
Scenario 1 - Powerstroke First,2.377408888508512,0.8469715940422229,3.9078461829748012,5e-4,7.411145681970589
Scenario 1 - Powerstroke First,2.600409413006302,1.1798713487047474,4.020947477307857,6.000000000000001e-4,7.411145681970589
Scenario 1 - Powerstroke First,2.8234099375040915,1.4946182521322244,4.152201622875959,7e-4,7.411145681970589
Scenario 1 - Powerstroke First,3.046410462001881,1.7872380491668904,4.305582874836872,8e-4,7.411145681970589
Scenario 1 - Powerstroke First,3.269410986499671,2.053922665484836,4.484899307514506,9.000000000000001e-4,7.411145681970589
Scenario 1 - Powerstroke First,3.492411510997461,2.2918377219491908,4.692985300045731,0.001,7.411145681970589
Scenario 1 - Powerstroke First,3.715412035495251,2.499923714480416,4.930900356510086,0.0011,7.411145681970589
Scenario 1 - Powerstroke First,3.93841255999304,2.6792401471580494,5.197584972828031,0.0012000000000000001,7.411145681970589
Scenario 1 - Powerstroke First,4.16141308449083,2.832621399118963,5.490204769862697,0.0013000000000000002,7.411145681970589
Scenario 1 - Powerstroke First,4.38441360898862,2.963875544687065,5.804951673290175,0.0014,7.411145681970589
Scenario 1 - Powerstroke First,4.60741413348641,3.0769768390201206,6.137851427952699,0.0015,7.411145681970589
Scenario 1 - Powerstroke First,4.830414657984199,3.1755378941118955,6.485291421856502,0.0016,7.411145681970589
Scenario 1 - Powerstroke First,5.053415182481989,3.2625872270202905,6.844243137943687,0.0017000000000000001,7.411145681970589
Scenario 1 - Powerstroke First,5.276415706979779,3.340548640348066,7.212282773611491,0.0018000000000000002,7.411145681970589
Scenario 1 - Powerstroke First,5.499416231477568,3.411315011607491,7.587517451347645,0.0019,7.411145681970589
Scenario 1 - Powerstroke First,5.722416755975358,3.4763488628955383,7.968484649055178,0.002,7.411145681970589
Scenario 2 - Pi Gates Powestroke,0.8540015452226873,0.0040094015978418,1.7039936888475329,0,5.937106946736333
Scenario 2 - Pi Gates Powestroke,0.7989475920704188,0.008735667733033248,1.5891595164078043,1e-4,5.937106946736333
Scenario 2 - Pi Gates Powestroke,0.7438936389181503,0.011292543996325843,1.4764947338399748,2e-4,5.937106946736333
Scenario 2 - Pi Gates Powestroke,0.6888396857658817,0.011126559899969357,1.3665528116317942,3.0000000000000003e-4,5.937106946736333
Scenario 2 - Pi Gates Powestroke,0.6337857326136133,0.007521383128618275,1.2600500820986082,4e-4,5.937106946736333
Scenario 2 - Pi Gates Powestroke,0.5787317794613447,-4.402396102002326e-4,1.1579037985328897,5e-4,5.937106946736333
Scenario 2 - Pi Gates Powestroke,0.5236778263090762,-0.013904407111619999,1.0612600597297726,6.000000000000001e-4,5.937106946736333
Scenario 2 - Pi Gates Powestroke,0.46862387315680765,-0.034238260512437724,0.971486006826053,7e-4,5.937106946736333
Scenario 2 - Pi Gates Powestroke,0.4135699200045391,-0.06294579961215513,0.8900856396212333,8e-4,5.937106946736333
Scenario 2 - Pi Gates Powestroke,0.35851596685227055,-0.1014681354598354,0.8185000691643765,9.000000000000001e-4,5.937106946736333
Scenario 2 - Pi Gates Powestroke,0.30346201370000203,-0.15087789814195796,0.757801925541962,0.001,5.937106946736333
Scenario 2 - Pi Gates Powestroke,0.24840806054773357,-0.2115760417643724,0.7083921628598395,0.0011,5.937106946736333
Scenario 2 - Pi Gates Powestroke,0.193354107395465,-0.28316161222122926,0.6698698270121592,0.0012000000000000001,5.937106946736333
Scenario 2 - Pi Gates Powestroke,0.13830015424319642,-0.36456197942604895,0.6411622879124418,0.0013000000000000002,5.937106946736333
Scenario 2 - Pi Gates Powestroke,0.08324620109092795,-0.45433603232976827,0.6208284345116242,0.0014,5.937106946736333
Scenario 2 - Pi Gates Powestroke,0.028192247938659487,-0.5509797711328854,0.6073642670102044,0.0015,5.937106946736333
Scenario 2 - Pi Gates Powestroke,-0.02686170521360909,-0.6531260546986041,0.5994026442713859,0.0016,5.937106946736333
Scenario 2 - Pi Gates Powestroke,-0.08191565836587766,-0.75962878423179,0.5957974675000347,0.0017000000000000001,5.937106946736333
Scenario 2 - Pi Gates Powestroke,-0.13696961151814624,-0.8695707064399708,0.5956314834036783,0.0018000000000000002,5.937106946736333
Scenario 2 - Pi Gates Powestroke,-0.1920235646704146,-0.9822354890078001,0.5981883596669709,0.0019,5.937106946736333
Scenario 2 - Pi Gates Powestroke,-0.24707751782268328,-1.0970696614475288,0.6029146258021623,0.002,5.937106946736333
